City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Joao Pinheiro,BR,79.32,broken clouds,-17.74,-46.17,Hotel Santos
8,Robertsport,LR,80.56,scattered clouds,6.75,-11.37,Kwepunha Retreat
9,Ulu Tiram,MY,78.8,moderate rain,1.6,103.82,Dajie Avenue Hotel
12,Srikakulam,IN,75.58,clear sky,18.3,83.9,Sriram residency
15,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
25,Sao Filipe,CV,81.84,broken clouds,14.9,-24.5,Tortuga B&B
30,Port-Gentil,GA,84.2,scattered clouds,-0.72,8.78,Fengshui Residence
33,Bengkulu,ID,78.17,heavy intensity rain,-3.8,102.27,Grage Hotel Bengkulu
35,Saint-Pierre,RE,80.6,few clouds,-21.34,55.48,Lindsey Hôtel
36,Salalah,OM,87.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
43,Cabedelo,BR,80.6,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
44,Placido De Castro,BR,78.08,broken clouds,-10.34,-67.19,Hotel Califórnia
50,Qandala,SO,81.99,few clouds,11.47,49.87,
51,Hithadhoo,MV,84.7,light rain,-0.6,73.08,Scoop Guest House
54,Gizo,SB,82.74,light rain,-8.1,156.84,Imagination Island
57,Koungou,YT,80.6,light rain,-12.73,45.2,Villa Netibor
64,Erzin,TR,79.0,scattered clouds,36.96,36.2,Artemis Otel
66,Impfondo,CG,80.87,moderate rain,1.64,18.07,Préfecture de la Likouala
68,Santa Cruz,BO,77.0,smoke,-17.8,-63.17,Hotel Cortez
70,Tautira,PF,77.0,broken clouds,-17.73,-149.15,Pension Oaoa
74,Lagunas,PE,75.36,light rain,-5.23,-75.68,Hospedaje Eco
80,Atuona,PF,76.96,few clouds,-9.8,-139.03,Villa Enata
81,Vanimo,PG,81.32,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
88,Piranhas,BR,86.38,overcast clouds,-16.43,-51.82,Hotel Brasil
96,Butaritari,KI,81.37,clear sky,3.07,172.79,Isles Sunset Lodge
97,Bafia,CM,84.33,light rain,4.75,11.23,Ets MAISON BLANCHE
102,Thinadhoo,MV,84.63,moderate rain,0.53,72.93,
103,Kendari,ID,78.58,overcast clouds,-3.94,122.5,Hotel Wixel
108,Vila Velha,BR,82.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
109,Banda Aceh,ID,80.74,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
111,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
116,Howard Springs,AU,87.8,few clouds,-12.5,131.05,buffalo beach hostel
123,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
125,Kutum,SD,80.47,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
127,Meulaboh,ID,80.11,overcast clouds,4.14,96.13,Kost Pria
129,Kavieng,PG,83.08,broken clouds,-2.57,150.8,Nusa Island Retreat
131,Les Cayes,HT,79.47,overcast clouds,18.2,-73.75,Villa Orphee
132,Kahului,US,75.2,clear sky,20.89,-156.47,Maui Seaside Hotel
134,Acapulco,MX,77.04,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
135,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
136,Saint-Philippe,RE,80.6,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
145,Matay,EG,78.6,scattered clouds,28.42,30.78,Nag Aespen
146,Trairi,BR,85.95,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
147,Arraial Do Cabo,BR,75.2,overcast clouds,-22.97,-42.03,Pousada Porto Praia
149,Upata,VE,75.99,overcast clouds,8.01,-62.4,Posada Villa Nela
159,Praia,CV,84.2,few clouds,14.92,-23.51,LT Aparthotel
160,Buala,SB,81.18,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
171,Sal Rei,CV,82.4,clear sky,16.18,-22.92,Marine Club Beach Resort
174,Mahebourg,MU,78.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
177,Kupang,ID,84.2,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
178,Bambous Virieux,MU,78.8,scattered clouds,-20.34,57.76,Casa Tia Villa
183,Tondano,ID,80.6,few clouds,1.3,124.91,Villa Bella
188,Bosaso,SO,82.4,few clouds,11.28,49.18,Red Sea Hotel
190,Morondava,MG,85.06,overcast clouds,-20.28,44.28,La Case Bambou
193,Padang,ID,79.21,heavy intensity rain,-0.95,100.35,Mercure Padang
196,Guantanamo,CU,80.6,broken clouds,20.14,-75.21,Hotel Marti
197,Matai,TZ,78.8,few clouds,-8.3,31.52,Rashid agro vet
199,Ibra,OM,87.58,broken clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
200,Nouadhibou,MR,78.8,clear sky,20.93,-17.03,El Medina
202,Namatanai,PG,81.43,light rain,-3.67,152.43,Namatanai Hotel
203,Danielskuil,ZA,86.11,broken clouds,-28.19,23.54,Botha'Sig Gastehuis
218,Biak,ID,78.04,broken clouds,-0.91,122.88,Kost Ariz
219,Bandarbeyla,SO,80.17,clear sky,9.49,50.81,REER XOOSHLE GROUP
222,Kango,GA,85.6,overcast clouds,0.19,10.1,Hôtel Bar Restaurant Le Bercail
226,Pitimbu,BR,80.6,scattered clouds,-7.47,-34.81,Reserva do Abiaí
240,Kudahuvadhoo,MV,84.0,light rain,2.67,72.89,Kudahuvadhoo Retreat
245,Malanje,AO,80.6,broken clouds,-9.54,16.34,Malanje Hotel
246,Bubaque,GW,83.17,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
247,Simoes,BR,82.85,clear sky,-7.6,-40.82,Hotel Ponto Certo
253,Sena Madureira,BR,80.37,overcast clouds,-9.07,-68.66,Hotel Suzani
256,Georgetown,MY,82.4,scattered clouds,5.41,100.34,Cititel Penang
260,Kiunga,PG,75.65,light rain,-6.12,141.29,Airport Lodge Kiunga
266,Mouila,GA,84.2,broken clouds,-1.87,11.06,Hôtel du Lac Bleu
273,Pedernales,DO,80.11,broken clouds,18.04,-71.74,Hotel Costa Marina
276,Ormara,PK,80.22,clear sky,25.21,64.64,
278,Faya,SA,77.0,scattered clouds,18.39,42.45,مقبرة ال مجمل
279,Kununurra,AU,89.6,broken clouds,-15.77,128.73,Hotel Kununurra
