City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.21,-159.78,73.4,83,100,10.29,overcast clouds
1,New Norfolk,AU,-42.78,147.06,62.6,63,0,5.82,clear sky
2,Joao Pinheiro,BR,-17.74,-46.17,79.32,63,65,7.45,broken clouds
3,Saskylakh,RU,71.92,114.08,3.29,89,100,25.21,overcast clouds
4,Hanna,CA,51.63,-111.9,15.8,100,12,5.82,few clouds
5,Rikitea,PF,-23.12,-134.97,72.82,78,37,15.35,light rain
6,Bluff,NZ,-46.6,168.33,46.99,89,0,3.0,clear sky
7,Sungaipenuh,ID,-2.08,101.38,66.47,94,100,0.51,light rain
8,Robertsport,LR,6.75,-11.37,80.56,78,39,4.56,scattered clouds
9,Ulu Tiram,MY,1.6,103.82,78.8,88,20,1.12,moderate rain
10,Jadu,LY,31.95,12.03,67.12,48,0,8.68,clear sky
11,Lebu,CL,-37.62,-73.65,54.32,83,19,14.16,few clouds
12,Srikakulam,IN,18.3,83.9,75.58,60,0,7.81,clear sky
13,Heihe,CN,50.24,127.49,6.8,65,0,4.47,clear sky
14,Pisco,PE,-13.7,-76.22,62.6,88,90,3.36,smoke
15,Victoria,HK,22.29,114.16,75.0,69,98,11.01,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,41.0,48,0,4.7,clear sky
17,Nanortalik,GL,60.14,-45.24,25.72,96,100,21.45,light snow
18,East London,ZA,-33.02,27.91,66.2,68,40,20.8,scattered clouds
19,Punta Arenas,CL,-53.15,-70.92,41.0,80,90,12.75,light rain
20,Dikson,RU,73.51,80.55,3.0,94,100,10.38,overcast clouds
21,Katsuura,JP,35.13,140.3,57.0,43,40,11.41,shower rain
22,Vincennes,FR,48.85,2.43,63.0,77,0,3.36,clear sky
23,Utrecht,NL,52.0,5.25,61.0,81,79,3.0,broken clouds
24,Chokurdakh,RU,70.63,147.92,-14.64,90,100,2.46,overcast clouds
25,Sao Filipe,CV,14.9,-24.5,81.84,70,66,8.95,broken clouds
26,Sarankhola,BD,22.31,89.79,73.4,68,0,1.5,clear sky
27,Lata,PT,40.16,-8.33,64.0,87,8,1.99,clear sky
28,Pierre,US,44.37,-100.35,28.99,54,90,16.11,overcast clouds
29,Barrow,US,71.29,-156.79,14.0,78,90,18.34,overcast clouds
30,Port-Gentil,GA,-0.72,8.78,84.2,70,40,10.29,scattered clouds
31,Chuy,UY,-33.7,-53.46,67.24,67,100,11.34,overcast clouds
32,Jamestown,US,42.1,-79.24,50.0,66,1,6.93,clear sky
33,Bengkulu,ID,-3.8,102.27,78.17,83,100,1.59,heavy intensity rain
34,Sioux Lookout,CA,50.1,-91.92,50.0,87,90,9.17,overcast clouds
35,Saint-Pierre,RE,-21.34,55.48,80.6,69,20,23.04,few clouds
36,Salalah,OM,17.02,54.09,87.8,38,0,5.82,clear sky
37,Poya,NC,-21.35,165.15,69.96,74,53,9.53,broken clouds
38,Thomasville,US,35.88,-80.08,57.2,100,1,5.44,clear sky
39,Ballina,AU,-28.87,153.57,61.0,93,40,8.14,scattered clouds
40,Ucluelet,CA,48.93,-125.55,39.0,89,92,4.99,overcast clouds
41,Kodiak,US,57.79,-152.41,42.8,35,1,31.09,clear sky
42,Mar Del Plata,AR,-38.0,-57.56,62.6,88,75,9.17,broken clouds
43,Cabedelo,BR,-6.98,-34.83,80.6,83,40,11.41,scattered clouds
44,Placido De Castro,BR,-10.34,-67.19,78.08,87,80,1.34,broken clouds
45,Tuktoyaktuk,CA,69.45,-133.04,-2.54,91,89,13.51,overcast clouds
46,Nikolo-Pavlovskoye,RU,57.78,60.06,32.2,93,99,12.03,overcast clouds
47,Broceni,LV,56.7,22.53,48.0,89,8,5.99,clear sky
48,Port Alfred,ZA,-33.59,26.89,61.66,77,100,19.6,light rain
49,Semirom,IR,31.42,51.57,58.77,32,0,8.32,clear sky
50,Qandala,SO,11.47,49.87,81.99,66,16,8.72,few clouds
51,Hithadhoo,MV,-0.6,73.08,84.7,73,97,12.97,light rain
52,Xinxiang,CN,35.31,113.87,57.51,35,0,1.81,clear sky
53,Hilo,US,19.73,-155.09,69.8,73,1,9.17,clear sky
54,Gizo,SB,-8.1,156.84,82.74,73,24,5.77,light rain
55,Senno,RU,59.53,33.92,36.0,86,61,4.0,light rain
56,Mandalgovi,MN,45.76,106.27,35.02,68,9,9.84,clear sky
57,Koungou,YT,-12.73,45.2,80.6,78,49,6.93,light rain
58,Hobart,AU,-42.88,147.33,62.6,63,0,5.82,clear sky
59,Port Shepstone,ZA,-30.74,30.45,69.93,76,100,13.09,light rain
60,Half Moon Bay,US,37.46,-122.43,46.4,69,1,9.35,clear sky
61,Los Llanos De Aridane,ES,28.66,-17.92,73.4,69,75,10.29,broken clouds
62,San Ferdinando Di Puglia,IT,41.3,16.07,68.0,60,5,13.87,clear sky
63,Lagoa,PT,39.05,-27.98,63.07,72,59,15.61,broken clouds
64,Erzin,TR,36.96,36.2,79.0,31,37,1.03,scattered clouds
65,Busselton,AU,-33.65,115.33,55.0,66,53,16.55,light rain
66,Impfondo,CG,1.64,18.07,80.87,86,99,2.26,moderate rain
67,Port Elizabeth,ZA,-33.92,25.57,59.0,87,40,19.46,scattered clouds
68,Santa Cruz,BO,-17.8,-63.17,77.0,73,75,14.99,smoke
69,Yellowknife,CA,62.46,-114.35,28.4,92,75,16.11,broken clouds
70,Tautira,PF,-17.73,-149.15,77.0,83,75,4.7,broken clouds
71,Sorland,NO,67.67,12.69,39.2,64,75,12.75,broken clouds
72,Sinegorye,RU,62.08,150.48,-3.08,88,100,2.89,overcast clouds
73,Saldanha,ZA,-33.01,17.94,64.4,54,0,11.41,clear sky
74,Lagunas,PE,-5.23,-75.68,75.36,97,100,1.5,light rain
75,Rawson,AR,-43.3,-65.1,72.37,51,52,8.34,broken clouds
76,Comodoro Rivadavia,AR,-45.87,-67.5,66.2,45,0,10.29,clear sky
77,Durban,ZA,-29.86,31.03,69.8,88,90,10.29,light rain
78,Yulara,AU,-25.24,130.99,91.4,18,39,4.7,scattered clouds
79,Harrisonville,US,38.65,-94.35,64.4,88,75,10.29,broken clouds
80,Atuona,PF,-9.8,-139.03,76.96,72,18,10.74,few clouds
81,Vanimo,PG,-2.67,141.3,81.32,78,98,4.72,overcast clouds
82,Hermanus,ZA,-34.42,19.23,64.99,46,33,5.99,scattered clouds
83,Mataura,NZ,-46.19,168.86,46.99,89,27,3.0,scattered clouds
84,Ulladulla,AU,-35.35,150.47,57.2,87,0,1.12,clear sky
85,Upernavik,GL,72.79,-56.15,-2.85,79,76,10.33,broken clouds
86,Torbay,CA,47.67,-52.73,34.0,86,75,5.82,broken clouds
87,Severo-Kurilsk,RU,50.68,156.12,37.9,85,100,13.27,light rain
88,Piranhas,BR,-16.43,-51.82,86.38,45,99,4.21,overcast clouds
89,Carauari,BR,-4.88,-66.9,74.66,95,99,2.53,overcast clouds
90,Balakhta,RU,55.38,91.6,36.41,88,100,9.19,overcast clouds
91,Airai,TL,-8.93,125.41,63.59,100,100,2.39,overcast clouds
92,Krasnoselkup,RU,65.7,82.47,12.38,96,100,12.35,overcast clouds
93,Bredasdorp,ZA,-34.53,20.04,66.2,45,0,14.99,clear sky
94,Acajutla,SV,13.59,-89.83,66.99,100,36,4.16,light rain
95,Grindavik,IS,63.84,-22.43,42.8,87,90,18.34,heavy intensity rain
96,Butaritari,KI,3.07,172.79,81.37,71,0,10.94,clear sky
97,Bafia,CM,4.75,11.23,84.33,68,42,2.82,light rain
98,Requena,ES,39.49,-1.1,66.0,61,43,1.99,scattered clouds
99,Noumea,NC,-22.28,166.46,69.8,64,75,8.05,broken clouds
100,Isangel,VU,-19.55,169.27,74.73,78,96,14.43,overcast clouds
101,Alofi,NU,-19.06,-169.92,73.4,94,75,6.93,broken clouds
102,Thinadhoo,MV,0.53,72.93,84.63,74,100,11.54,moderate rain
103,Kendari,ID,-3.94,122.5,78.58,79,100,4.09,overcast clouds
104,Longyearbyen,SJ,78.22,15.64,23.0,62,20,8.05,few clouds
105,Qasigiannguit,GL,68.82,-51.19,14.0,72,75,5.82,broken clouds
106,Juegang,CN,32.32,121.19,59.0,61,30,5.28,light rain
107,Yarim,YE,14.3,44.38,68.97,24,0,1.79,clear sky
108,Vila Velha,BR,-20.33,-40.29,82.0,74,75,4.7,broken clouds
109,Banda Aceh,ID,5.56,95.32,80.74,78,100,5.7,overcast clouds
110,Qaanaaq,GL,77.48,-69.36,-7.42,71,5,6.31,clear sky
111,Kapaa,US,22.08,-159.32,78.8,78,75,13.87,broken clouds
112,Abnub,EG,27.27,31.15,73.4,60,0,11.41,clear sky
113,Yuanping,CN,38.72,112.76,45.77,49,0,2.62,clear sky
114,Provideniya,RU,64.38,-173.3,31.77,97,100,11.45,overcast clouds
115,Cedral,MX,23.8,-100.73,55.53,76,0,2.64,clear sky
