City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.78,147.06,55.4,62,90,8.05,AU,2020-10-31 17:36:00
1,Esperance,-33.87,121.9,73.4,28,100,14.99,AU,2020-10-31 17:33:55
2,Zarechnyy,53.2,45.19,42.98,84,94,3.69,RU,2020-10-31 17:43:46
3,Kiama,-34.68,150.87,62.01,93,70,3.0,AU,2020-10-31 17:43:46
4,Carnarvon,-24.87,113.63,68.0,88,40,5.82,AU,2020-10-31 17:37:07
5,Punta Arenas,-53.15,-70.92,53.6,66,0,2.24,CL,2020-10-31 17:37:57
6,Monteagudo,-19.82,-63.98,82.4,26,20,3.36,BO,2020-10-31 17:43:46
7,Lompoc,34.64,-120.46,62.6,62,1,5.82,US,2020-10-31 17:37:37
8,Hermanus,-34.42,19.23,61.0,70,0,4.0,ZA,2020-10-31 17:36:47
9,Kodiak,57.79,-152.41,32.0,88,1,8.05,US,2020-10-31 17:38:00
10,Umtata,-31.59,28.78,55.4,93,90,10.29,ZA,2020-10-31 17:43:46
11,Cherskiy,68.75,161.3,8.15,88,92,3.49,RU,2020-10-31 17:33:55
12,Bluff,-46.6,168.33,46.99,81,38,5.01,NZ,2020-10-31 17:35:54
13,Cidreira,-30.18,-50.21,67.46,62,93,9.64,BR,2020-10-31 17:38:26
14,Khani,41.96,42.96,62.6,72,75,4.7,GE,2020-10-31 17:43:47
15,Ostersund,63.18,14.64,37.4,93,71,8.05,SE,2020-10-31 17:40:06
16,Aljezur,37.32,-8.8,65.48,69,34,7.05,PT,2020-10-31 17:43:47
17,East London,-33.02,27.91,64.4,72,20,6.93,ZA,2020-10-31 17:36:25
18,Ejea De Los Caballeros,42.13,-1.14,60.8,63,18,6.93,ES,2020-10-31 17:43:47
19,Busselton,-33.65,115.33,62.01,73,100,10.2,AU,2020-10-31 17:36:05
20,Leningradskiy,69.38,178.42,18.46,92,92,10.18,RU,2020-10-31 17:37:04
21,Vaini,-21.2,-175.2,71.6,94,75,9.17,TO,2020-10-31 17:33:44
22,Leh,34.17,77.58,30.85,69,19,1.9,IN,2020-10-31 17:43:47
23,Vila Franca Do Campo,37.72,-25.43,69.8,94,75,19.46,PT,2020-10-31 17:33:53
24,Butaritari,3.07,172.79,81.39,75,68,16.35,KI,2020-10-31 17:36:27
25,Bethel,41.37,-73.41,43.0,52,1,3.36,US,2020-10-31 17:36:34
26,Senanga,-16.12,23.27,83.39,17,24,7.83,ZM,2020-10-31 17:38:18
